Company,Code,Name,Email,Phone,Address,City,State,Postal Code,Country,Group Area ID,Customer Group ID,Vat No,CF 1,CF 2,CF 3,CF 4,CF 5,CF 6
123,A-0001,123,,012​ 412 166 / 012 980 266,ផ្លូវភ្លោះអូឫស្សី,,,,,,,,,,,,,
កាហ្វេធូដេ-Coffee Today,A-0002,Coffee Today-កាហ្វេធូដេ,,096​ 396 5296,បឹងសាឡាង,,,,,,,,,,,,,
Yamato-យ៉ាម៉ាតុ,A-0003,Yamato-យ៉ាម៉ាតុ,,012 609 998,បឹងត្របែក,,,,,,,,,,,,,
កន្លែងចាស់-Konleang Jas,A-0004,កន្លែងចាស់-Konleang Jas,,098 616 661,ក្បាលមាន់ចែ,,,,,,,,,,,,,
ចិនបូកគោ-Jin Boko,A-0005,ចិនបូកគោ-Jin Boko,,012 525 250,ស្តុបបូកគោ,,,,,,,,,,,,,
វីផ្លេស-V Place,A-0006,វីផ្លេស-V Place,,010 848 880,,,,,,,,,,,,,,
ថាយជី-Thai Ji,A-0007,ថាយជី-Thai Ji,,023 992 998,,,,,,,,,,,,,,
សៀនយៀកហួយ-Sean Yeak Huoy,A-0008,សៀនយៀកហួយ-Sean Yeak Huoy,,099 399 511,,,,,,,,,,,,,,
ក្រោយកាណាឌីយ៉ា,A-0009,ក្រោយកាណាឌីយ៉ា,,,,,,,,,,,,,,,,
អេសេន,A-0010,អេសេន,,070​ 225 102,,,,,,,,,,,,,,
ម៉ាស្សាឆ្នេមាស,A-0011,ម៉ាស្សាឆ្នេមាស,,066 885 505,,,,,,,,,,,,,,
ត្រីដុត,A-0012,ត្រីដុត,,088 865 5999,,,,,,,,,,,,,,
វីនណា,A-0013,វីនណា,,096 420 8888,,,,,,,,,,,,,,
ក្រោយតុលាការ,A-0014,ក្រោយតុលាការ,,087 728 822 / 081 764 400,,,,,,,,,,,,,,
នំខេក (ទួលទំពូង),A-0015,នំខេក (ទួលទំពូង),,087 568 080,#74 St.456 ទួលទំពូង,,,,,,,,,,,,,
លួយជី (ទួលទំពូង),A-0016,លួយជី (ទួលទំពូង),,092 393​ 924,#1D St.167 ទួលទំពូង,,,,,,,,,,,,,
លួយជី (វិមានឯករាជ្យ),B-0017,លួយជី (វិមានឯករាជ្យ),,092 430 282 / 017 323 273,#36 St.308​ វិមានឯករាជ្យ,,,,,,,,,,,,,
ហ្គោលជី (បឹងត្របែក),A-0018,ហ្គោលជី (បឹងត្របែក),,016 700 662,#9 St.101 បឹងត្របែក,,,,,,,,,,,,,
ស៊ីនស៊ាំងជី​ (មុន្នីវង្ស),A-0019,ស៊ីនស៊ាំងជី​ (មុន្នីវង្ស),,,ទល់មុខសមុទ្ររីករាយផ្លូវមុន្នីវង្ស,,,,,,,,,,,,,
សៀវជាវគ័ន (កោះពេជ្រ),B-0020,សៀវជាវគ័ន (កោះពេជ្រ),,097 739 2374,កោះពេជ្រ,,,,,,,,,,,,,
ឡាក់សឺរី-Luxery,A-0021,ឡាក់សឺរី-Luxery,,092 712 486 / 023 999 938,ក្រោយតាយតាយមុន្នីវង្ស,,,,,,,,,,,,,
ស៊ុបគោដុតវិមានកុលាប,A-0022,ស៊ុបគោដុតវិមានកុលាប,,,កោះពេជ្រ,,,,,,,,,,,,,
អ៊ីអ៊ួយ-Y Ouy,A-0023,អ៊ីអ៊ួយ-Y Ouy,,012 366 638 / 088 830 0777,,,,,,,,,,,,,,
ហេបភីហ្វាមីលីស៊ុប-Happy Family Soup,A-0024,ហេបភីហ្វាមីលីស៊ុប-Happy Family Soup,,097 685 8962 / 023 685 896,កោះពេជ្រ,,,,,,,,,,,,,
ឆុងឈីង-Chong Ching,A-0025,ឆុងឈីង-Chong Ching,,011 252 861 ,St.310,,,,,,,,,,,,,
លិធីញ-Li Ting,A-0026,លិធីញ-Li Ting,,092 991 979,បឹងត្របែក,,,,,,,,,,,,,
